DATE,A229RX0
1991-01-01,25274
1991-02-01,25290
1991-03-01,25309
1991-04-01,25369
1991-05-01,25341
1991-06-01,25443
1991-07-01,25361
1991-08-01,25377
1991-09-01,25420
1991-10-01,25431
1991-11-01,25454
1991-12-01,25662
1992-01-01,25913
1992-02-01,26019
1992-03-01,26029
1992-04-01,26077
1992-05-01,26178
1992-06-01,26259
1992-07-01,26207
1992-08-01,26262
1992-09-01,26099
1992-10-01,25901
1992-11-01,25886
1992-12-01,26776
1993-01-01,26250
1993-02-01,26317
1993-03-01,26205
1993-04-01,26299
1993-05-01,26227
1993-06-01,26146
1993-07-01,26178
1993-08-01,26185
1993-09-01,26088
1993-10-01,25919
1993-11-01,25967
1993-12-01,26827
1994-01-01,26307
1994-02-01,26344
1994-03-01,26403
1994-04-01,26384
1994-05-01,26676
1994-06-01,26597
1994-07-01,26591
1994-08-01,26600
1994-09-01,26682
1994-10-01,26901
1994-11-01,26867
1994-12-01,26967
1995-01-01,27056
1995-02-01,27094
1995-03-01,27137
1995-04-01,26904
1995-05-01,27142
1995-06-01,27196
1995-07-01,27221
1995-08-01,27213
1995-09-01,27270
1995-10-01,27273
1995-11-01,27321
1995-12-01,27331
1996-01-01,27353
1996-02-01,27542
1996-03-01,27608
1996-04-01,27424
1996-05-01,27747
1996-06-01,27884
1996-07-01,27780
1996-08-01,27816
1996-09-01,27851
1996-10-01,27817
1996-11-01,27862
1996-12-01,27935
1997-01-01,28003
1997-02-01,28062
1997-03-01,28165
1997-04-01,28157
1997-05-01,28245
1997-06-01,28305
1997-07-01,28387
1997-08-01,28500
1997-09-01,28546
1997-10-01,28650
1997-11-01,28800
1997-12-01,28936
1998-01-01,29174
1998-02-01,29341
1998-03-01,29487
1998-04-01,29555
1998-05-01,29647
1998-06-01,29785
1998-07-01,29808
1998-08-01,29873
1998-09-01,29933
1998-10-01,29953
1998-11-01,30047
1998-12-01,30071
1999-01-01,30162
1999-02-01,30238
1999-03-01,30248
1999-04-01,30162
1999-05-01,30195
1999-06-01,30267
1999-07-01,30268
1999-08-01,30364
1999-09-01,30310
1999-10-01,30468
1999-11-01,30655
1999-12-01,30879
2000-01-01,31111
2000-02-01,31208
2000-03-01,31260
2000-04-01,31363
2000-05-01,31454
2000-06-01,31498
2000-07-01,31635
2000-08-01,31776
2000-09-01,31747
2000-10-01,31770
2000-11-01,31722
2000-12-01,31735
2001-01-01,31886
2001-02-01,31928
2001-03-01,32004
2001-04-01,31907
2001-05-01,31814
2001-06-01,31789
2001-07-01,32239
2001-08-01,32771
2001-09-01,32502
2001-10-01,31968
2001-11-01,32019
2001-12-01,32074
2002-01-01,32733
2002-02-01,32744
2002-03-01,32707
2002-04-01,32776
2002-05-01,32821
2002-06-01,32866
2002-07-01,32736
2002-08-01,32681
2002-09-01,32670
2002-10-01,32716
2002-11-01,32765
2002-12-01,32837
2003-01-01,32828
2003-02-01,32739
2003-03-01,32832
2003-04-01,33019
2003-05-01,33249
2003-06-01,33335
2003-07-01,33682
2003-08-01,33861
2003-09-01,33442
2003-10-01,33557
2003-11-01,33778
2003-12-01,33814
2004-01-01,33830
2004-02-01,33880
2004-03-01,33979
2004-04-01,34065
2004-05-01,34214
2004-06-01,34188
2004-07-01,34213
2004-08-01,34284
2004-09-01,34255
2004-10-01,34257
2004-11-01,34149
2004-12-01,35370
2005-01-01,34164
2005-02-01,34156
2005-03-01,34240
2005-04-01,34282
2005-05-01,34398
2005-06-01,34469
2005-07-01,34527
2005-08-01,34548
2005-09-01,34341
2005-10-01,34477
2005-11-01,34686
2005-12-01,34844
2006-01-01,35286
2006-02-01,35412
2006-03-01,35451
2006-04-01,35379
2006-05-01,35321
2006-06-01,35370
2006-07-01,35330
2006-08-01,35292
2006-09-01,35476
2006-10-01,35650
2006-11-01,35747
2006-12-01,35813
2007-01-01,35819
2007-02-01,35887
2007-03-01,35970
2007-04-01,35936
2007-05-01,35891
2007-06-01,35820
2007-07-01,35870
2007-08-01,35859
2007-09-01,35918
2007-10-01,35822
2007-11-01,35759
2007-12-01,35883
2008-01-01,35961
2008-02-01,35999
2008-03-01,36049
2008-04-01,35887
2008-05-01,37585
2008-06-01,36564
2008-07-01,35958
2008-08-01,35640
2008-09-01,35650
2008-10-01,35799
2008-11-01,36022
2008-12-01,35867
2009-01-01,35993
2009-02-01,35646
2009-03-01,35624
2009-04-01,35795
2009-05-01,36326
2009-06-01,35683
2009-07-01,35531
2009-08-01,35415
2009-09-01,35433
2009-10-01,35260
2009-11-01,35317
2009-12-01,35416
2010-01-01,35331
2010-02-01,35246
2010-03-01,35303
2010-04-01,35544
2010-05-01,35762.0
2010-06-01,35753.0
2010-07-01,35759.0
2010-08-01,35844.0
2010-09-01,35774.0
2010-10-01,35837.0
2010-11-01,35919.0
2010-12-01,36149.0
2011-01-01,36317.0
2011-02-01,36400.0
2011-03-01,36328.0
2011-04-01,36212.0
2011-05-01,36173.0
2011-06-01,36306.0
2011-07-01,36427.0
2011-08-01,36376.0
2011-09-01,36246.0
2011-10-01,36254.0
2011-11-01,36195.0
2011-12-01,36451.0
2012-01-01,36684.0
2012-02-01,36869.0
2012-03-01,36945.0
2012-04-01,37023.0
2012-05-01,37041.0
2012-06-01,37100.0
2012-07-01,36975
2012-08-01,36883
2012-09-01,37030.0
2012-10-01,37225
2012-11-01,37695.0
2012-12-01,38658.0
2013-01-01,36233.0
2013-02-01,36209.0
2013-03-01,36230.0
2013-04-01,36226.0
2013-05-01,36421.0
2013-06-01,36486.0
2013-07-01,36441.0
2013-08-01,36523.0
2013-09-01,36590.0
2013-10-01,36469.0
2013-11-01,36541.0
2013-12-01,36560.0
2014-01-01,36646.0
2014-02-01,36854.0
2014-03-01,37052.0
2014-04-01,37136.0
2014-05-01,37250.0
2014-06-01,37399.0
2014-07-01,37437.0
2014-08-01,37607.0
2014-09-01,37675.0
2014-10-01,37863.0
2014-11-01,38048.0
2014-12-01,38212.0
2015-01-01,38314.0
2015-02-01,38436.0
2015-03-01,38385.0
2015-04-01,38590.0
2015-05-01,38705.0
2015-06-01,38736.0
2015-07-01,38704.0
2015-08-01,38773.0
2015-09-01,38848.0
2015-10-01,38985.0
2015-11-01,38964.0
2015-12-01,38984.0
2016-01-01,38941.0
2016-02-01,38897.0
2016-03-01,38964.0
2016-04-01,39030.0
2016-05-01,39053.0
2016-06-01,39079.0
2016-07-01,39117.0
2016-08-01,39036.0
2016-09-01,38985.0
2016-10-01,38882.0
2016-11-01,38785.0
2016-12-01,38702.0
2017-01-01,38859.0
2017-02-01,38979.0
2017-03-01,39172.0
2017-04-01,39123.0
2017-05-01,39265.0
2017-06-01,39216.0
2017-07-01,39230.0
2017-08-01,39186.0
2017-09-01,39163.0
2017-10-01,39194.0
2017-11-01,39200.0
2017-12-01,39274.0
2018-01-01,39485.0
2018-02-01,39536.0
